question,event_time,session_id,user_id_main,complexity_level,user_intent,business_maturity,learning_path,question_id,has_follow_up_questions,question_count,example_follow_up_question,example_previous_question,has_difficulty,difficulty_type,evidence
how to calculate my loan payment?,2025-03-26 20:06:41.047000,5808058465_53,5808058465,implementation,problem_solving,intermediate,Finance and Accounting,59,True,34,how to improve it?,what is inventotry management?,False,repeated_questions,User asks 'what is a cash ledger?' twice (questions #19 and #30) and 'what is a delivery note?' twice (questions #23 and #33)
example of loan payment schedule,2025-03-27 00:07:29.175000,5808058465_54,5808058465,implementation,problem_solving,intermediate,Finance and Accounting ,60,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
example of loan offer?,2025-03-27 00:08:36.304000,5808058465_54,5808058465,implementation,problem_solving,intermediate,Finance and Accounting ,61,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
budget and actual comparison on cash,2025-03-27 00:10:37.768000,5808058465_54,5808058465,strategic,decision_making,intermediate,Finance and Accounting,62,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
production estimates,2025-03-27 00:15:02.582000,5808058465_54,5808058465,basic,knowledge_seeking,intermediate,Producer Organization Essentials,63,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to do a cash budget?,2025-03-27 00:29:15.558000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,64,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
usimamizi wa hesabu ni nini?,2025-03-27 00:37:15.344000,5808058465_54,5808058465,basic,knowledge_seeking,startup,Fundamentals of Retail Management,65,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
什么是库存？,2025-03-27 00:37:49.514000,5808058465_54,5808058465,basic,knowledge_seeking,startup,Fundamentals of Retail Management,66,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
什么是a类产品？,2025-03-27 00:38:24.790000,5808058465_54,5808058465,basic,knowledge_seeking,startup,Producer Organization Essentials,67,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
你是谁？,2025-03-27 00:38:31.245000,5808058465_54,5808058465,basic,greeting,startup,,68,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
uwekaji hesabu ni nini,2025-03-27 00:39:39.973000,5808058465_54,5808058465,basic,knowledge_seeking,startup,Fundamentals of Retail Management,69,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
any advise on bookkeeping for my shop?,2025-03-27 00:41:05.880000,5808058465_54,5808058465,strategic,decision_making,intermediate,Bookkeeping Essentials,70,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
what is a cash ledger? any example?,2025-03-27 00:41:54.375000,5808058465_54,5808058465,implementation,problem_solving,startup,Bookkeeping Essentials,71,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
how to use cash ledger?,2025-03-27 00:43:13.021000,5808058465_54,5808058465,implementation,problem_solving,startup,Bookkeeping Essentials,72,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
1. How to organize my receipt?,2025-03-27 00:44:12.511000,5808058465_54,5808058465,implementation,problem_solving,startup,Bookkeeping Essentials,73,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
any advise on bookkeeping for my shop?,2025-03-27 00:44:25.549000,5808058465_54,5808058465,strategic,decision_making,intermediate,Producer Organization Essentials,74,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
i don't have a filing system in place,2025-03-27 00:45:06.780000,5808058465_54,5808058465,implementation,problem_solving,startup,Bookkeeping Essentials,75,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
"i want to work on my cash budget, can you give me some example?",2025-03-27 00:46:23.223000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,76,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
how to do cash budget?,2025-03-27 00:47:35.610000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,77,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
asante,2025-03-27 00:48:55.722000,5808058465_54,5808058465,basic,greeting,startup,,78,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
asante,2025-03-27 00:49:13.704000,5808058465_54,5808058465,basic,greeting,startup,,79,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Hi,2025-03-27 00:52:35.497000,5808058465_54,5808058465,basic,greeting,startup,,80,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
What are you doing?,2025-03-27 00:52:48.685000,5808058465_54,5808058465,basic,greeting,startup,,81,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to do a cache bash it.,2025-03-27 00:52:58.962000,5808058465_54,5808058465,implementation,problem_solving,startup,,82,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Yes. The main men.,2025-03-27 00:53:09.325000,5808058465_54,5808058465,basic,greeting,startup,,83,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
What is inventory management,2025-03-27 00:53:25.906000,5808058465_54,5808058465,basic,knowledge_seeking,startup,Fundamentals of Retail Management,84,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to do a cash budget.,2025-03-27 00:53:47.923000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,85,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Any advice on bookkeeping for my shop?,2025-03-27 00:59:26.500000,5808058465_54,5808058465,strategic,decision_making,intermediate,Bookkeeping Essentials,86,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Can you tell me more about the filing system?,2025-03-27 01:00:04.650000,5808058465_54,5808058465,implementation,problem_solving,startup,Producer Organization Essentials,87,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
"So can you give me an example about how to write down a receipt, any template?",2025-03-27 01:00:44.172000,5808058465_54,5808058465,implementation,problem_solving,startup,Bookkeeping Essentials,88,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to do a cash budget?,2025-03-27 01:02:18.855000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,89,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Asante,2025-03-27 01:10:30.446000,5808058465_54,5808058465,basic,greeting,startup,,90,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Any advice on bookkeeping for my shop?,2025-03-27 01:15:24.108000,5808058465_54,5808058465,strategic,decision_making,intermediate,Bookkeeping Essentials,91,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
So how to organize my receipt?,2025-03-27 01:16:36.301000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,92,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to my cash budget?,2025-03-27 01:19:12.377000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,93,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to do my cash budget?,2025-03-27 01:20:27.050000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,94,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to do a cash budget?,2025-03-27 01:20:58.247000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,95,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to organize my receipt,2025-03-27 01:22:18.204000,5808058465_54,5808058465,implementation,problem_solving,startup,Producer Organization Essentials,96,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to do a cash budget? Any example?,2025-03-27 01:22:57.791000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,97,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Asante!,2025-03-27 01:24:38.012000,5808058465_54,5808058465,basic,greeting,startup,,98,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Any advice on bookkeeping for my shop?,2025-03-27 01:38:24.099000,5808058465_54,5808058465,strategic,decision_making,intermediate,Bookkeeping Essentials,99,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to organize my receipt?,2025-03-27 01:39:15.067000,5808058465_54,5808058465,implementation,problem_solving,startup,Producer Organization Essentials,100,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
How to do a cash budget? Any example?,2025-03-27 01:40:35.957000,5808058465_54,5808058465,implementation,problem_solving,startup,Fundamentals of Retail Management,101,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Asante!,2025-03-27 01:42:46.198000,5808058465_54,5808058465,basic,greeting,startup,,102,True,43,什么是库存？,usimamizi wa hesabu ni nini?,False,,
Hi,2025-03-28 20:57:37.783000,5808058465_55,5808058465,basic,greeting,startup,,103,False,1,,,False,,
how can I manage the inventory stock in rainy season?,2025-03-31 18:44:03.986000,5808058465_56,5808058465,strategic,problem_solving,intermediate,Fundamentals of Retail Management,104,False,1,,,False,,
how are you?,2025-03-31 19:43:22.729000,5808058465_57,5808058465,basic,greeting,startup,,105,True,5,what is ledgers?,how to do bookkeeping?,False,,
how to do bookkeeping?,2025-03-31 19:44:09.658000,5808058465_57,5808058465,implementation,problem_solving,startup,Producer Organization Essentials,106,True,5,what is ledgers?,how to do bookkeeping?,False,,
what is ledgers?,2025-03-31 19:44:33.242000,5808058465_57,5808058465,basic,knowledge_seeking,startup,Bookkeeping Essentials,107,True,5,what is ledgers?,how to do bookkeeping?,False,,
give me some example of ledgers?,2025-03-31 19:45:13.058000,5808058465_57,5808058465,implementation,problem_solving,startup,Bookkeeping Essentials,108,True,5,what is ledgers?,how to do bookkeeping?,False,,
i am angry with my customers,2025-03-31 19:46:01.189000,5808058465_57,5808058465,strategic,crisis_management,intermediate,Finance and Accounting,109,True,5,what is ledgers?,how to do bookkeeping?,False,,
give me an example of cash ledger,2025-03-31 23:52:07.824000,5808058465_59,5808058465,implementation,problem_solving,startup,Finance and Accounting,110,False,1,,,False,,
what is a cash ledger?,2025-04-01 22:05:20.157000,5808058465_60,5808058465,basic,knowledge_seeking,startup,Bookkeeping Essentials,111,True,2,give me example of cash ledger,what is a cash ledger?,False,,
give me example of cash ledger,2025-04-01 22:05:45.342000,5808058465_60,5808058465,implementation,problem_solving,startup,Bookkeeping Essentials,112,True,2,give me example of cash ledger,what is a cash ledger?,False,,
hi,2025-04-02 19:46:22.649000,5808058465_62,5808058465,basic,greeting,startup,,113,False,1,,,False,,
hi,2025-04-04 05:18:10.321000,5808058465_64,5808058465,basic,greeting,startup,,114,True,4,how to?,"I don't like accounting but i have to, any way to make it simple for me to learn?",False,,
what are you doing?,2025-04-04 05:18:16.362000,5808058465_64,5808058465,basic,greeting,startup,,115,True,4,how to?,"I don't like accounting but i have to, any way to make it simple for me to learn?",False,,
"I don't like accounting but i have to, any way to make it simple for me to learn?",2025-04-04 05:18:42.971000,5808058465_64,5808058465,strategic,problem_solving,startup,Producer Organization Essentials,116,True,4,how to?,"I don't like accounting but i have to, any way to make it simple for me to learn?",False,,
how to?,2025-04-04 05:19:12.744000,5808058465_64,5808058465,implementation,clarification,startup,,117,True,4,how to?,"I don't like accounting but i have to, any way to make it simple for me to learn?",False,,
What can I do to make my shop has better business,2025-04-05 17:39:52.375000,5808058465_65,5808058465,strategic,decision_making,intermediate,"Successful AE operations, Leadership and Entrepreneurship",118,False,1,,,False,,
when to decide expand the shop?,2025-04-07 05:42:07.505000,5808058465_66,5808058465,strategic,decision_making,intermediate,"Successful AE operations, Leadership and Entrepreneurship",119,True,2,what kind of goals should I set up for my agribusiness expansion?,when to decide expand the shop?,False,,
what kind of goals should I set up for my agribusiness expansion?,2025-04-07 05:42:53.978000,5808058465_66,5808058465,strategic,decision_making,intermediate,Fundamentals of Retail Management,120,True,2,what kind of goals should I set up for my agribusiness expansion?,when to decide expand the shop?,False,,
what is inventory management?,2025-04-07 22:05:21.894000,5808058465_67,5808058465,basic,knowledge_seeking,startup,Fundamentals of Retail Management,121,True,2,what is inventory management,what is inventory management?,False,,
what is inventory management,2025-04-07 22:05:33.429000,5808058465_67,5808058465,basic,knowledge_seeking,startup,Fundamentals of Retail Management,122,True,2,what is inventory management,what is inventory management?,False,,
hi,2025-04-09 01:05:34.821000,5808058465_71,5808058465,basic,greeting,startup,,123,False,2,hi,hi,False,,
